rxn,pos,sample,mix,rep,tech,drug,conc,timepoint,exp
PCR1-001,A1,1,ALL,A,1,none,none,20,EXP20230806
PCR1-002,A2,2,ALL,A,2,none,none,20,EXP20230806
PCR1-003,A3,3,ALL,A,3,none,none,20,EXP20230806
PCR1-004,A4,4,ALL,A,1,TET,0.5,20,EXP20230806
PCR1-005,A5,5,ALL,A,2,TET,0.5,20,EXP20230806
PCR1-006,A6,6,ALL,A,3,TET,0.5,20,EXP20230806
,,,,,,,,,
PCR1-008,A8,8,ALL,A,2,TET,1,20,EXP20230806
PCR1-009,A9,9,ALL,A,3,TET,1,20,EXP20230806
,,,,,,,,,
PCR1-011,A11,11,ALL,A,2,TET,4,20,EXP20230806
PCR1-012,A12,12,ALL,A,3,TET,4,20,EXP20230806
PCR1-013,B1,13,ALL,B,1,none,none,20,EXP20230806
PCR1-014,B2,14,ALL,B,2,none,none,20,EXP20230806
PCR1-015,B3,15,ALL,B,3,none,none,20,EXP20230806
PCR1-016,B4,16,ALL,B,1,TET,0.5,20,EXP20230806
PCR1-017,B5,17,ALL,B,2,TET,0.5,20,EXP20230806
PCR1-018,B6,18,ALL,B,3,TET,0.5,20,EXP20230806
PCR1-019,B7,19,ALL,B,1,TET,1,20,EXP20230806
PCR1-020,B8,20,ALL,B,2,TET,1,20,EXP20230806
PCR1-021,B9,21,ALL,B,3,TET,1,20,EXP20230806
PCR1-022,B10,22,ALL,B,1,TET,4,20,EXP20230806
PCR1-023,B11,23,ALL,B,2,TET,4,20,EXP20230806
PCR1-024,B12,24,ALL,B,3,TET,4,20,EXP20230806
PCR1-025,C1,25,ALL,C,1,none,none,20,EXP20230806
PCR1-026,C2,26,ALL,C,2,none,none,20,EXP20230806
PCR1-027,C3,27,ALL,C,3,none,none,20,EXP20230806
PCR1-028,C4,28,ALL,C,1,TET,0.5,20,EXP20230806
PCR1-029,C5,29,ALL,C,2,TET,0.5,20,EXP20230806
PCR1-030,C6,30,ALL,C,3,TET,0.5,20,EXP20230806
PCR1-031,C7,31,ALL,C,1,TET,1,20,EXP20230806
PCR1-032,C8,32,ALL,C,2,TET,1,20,EXP20230806
PCR1-033,C9,33,ALL,C,3,TET,1,20,EXP20230806
PCR1-034,C10,34,ALL,C,1,TET,4,20,EXP20230806
PCR1-035,C11,35,ALL,C,2,TET,4,20,EXP20230806
PCR1-036,C12,36,ALL,C,3,TET,4,20,EXP20230806